Commodity,Yield,Price per Unit
grape,6.7 TONS / ACRE,"1,010 $ / TON"
strawberry,590 CWT / ACRE,108 $ / CWT
hay,5.39 TONS / ACRE,333 $ / TON
broccoli,135 CWT / ACRE,65.5 $ / CWT
carrot,375 CWT / ACRE,38.7 $ / CWT
rice,"8,770 LB / ACRE",33.8 $ / CWT
tangerine,265 BOXES / ACRE,"35.25 $ / BOX, ON TREE EQUIV"
cauliflower,210 CWT / ACRE,64.4 $ / CWT
lemon,485 BOXES / ACRE,"15.59 $ / BOX, ON TREE EQUIV"
avocado,2.97 TONS / ACRE,"3,530 $ / TON"
spinach,130 CWT / ACRE,66.9 $ / CWT
celery,535 CWT / ACRE,30.6 $ / CWT
peach,12.9 TONS / ACRE,891 $ / TON
sweet potato,325 CWT / ACRE,46.6 $ / CWT
garlic,165 CWT / ACRE,68.7 $ / CWT
raspberry,"16,500 LB / ACRE",3.15 $ / LB
cabbage,410 CWT / ACRE,43.3 $ / CWT
potato,405 CWT / ACRE,28 $ / CWT
sweet corn,175 CWT / ACRE,45.5 $ / CWT
nectarine,8.4 TONS / ACRE,"1,290 $ / TON"
date,4.1 TONS / ACRE,"2,840 $ / TON"
pear,17.1 TONS / ACRE,640 $ / TON
plum,7.01 TONS / ACRE,"1,460 $ / TON"
wheat,85.3 BU / ACRE,10.5 $ / BU
kiwifruit,7.5 TONS / ACRE,"2,380 $ / TON"
olive,2.05 TONS / ACRE,892 $ / TON
apple,"18,000 LB / ACRE",0.3 $ / LB
grapefruit,432 BOXES / ACRE,"9.59 $ / BOX, ON TREE EQUIV"
artichoke,155 CWT / ACRE,60 $ / CWT
squash,220 CWT / ACRE,28.6 $ / CWT
safflower,"2,250 LB / ACRE",33.4 $ / CWT
pumpkin,270 CWT / ACRE,23.9 $ / CWT
cucumber,180 CWT / ACRE,21.1 $ / CWT
apricot,4.8 TONS / ACRE,931 $ / TON
asparagus,34 CWT / ACRE,217 $ / CWT
sunflower,"1,056 LB / ACRE",31.6 $ / CWT
barley,56 BU / ACRE,7.89 $ / BU
chickpea,"2,610 LB / ACRE",49.6 $ / CWT
